url,text
https://www.tiktok.com/@1treellion.org/video/7376717572718497070,"Let's talk about the importance of urban tree cover. Most importantly, they help to reduce the urban heat island effect. This is why cities tend to have warmer temperatures compared to rural areas due to developed infrastructure and lack of green spaces or tree cover. The infrastructure tends to absorb and retain more heat, leading to higher temperatures. This is why tree coverage is vital in sheltering communities from heat waves and helps to reduce heat-related illnesses and mortality. Urban trees also help to reduce erosion and filter rainwater. Their root systems work to keep the ground drier, which can also help to reduce flooding. These are just a few of the reasons why urban tree cover is so important."
https://www.tiktok.com/@_jefffy_/video/7449862319170964766,"TikTok, do you guys know about this right here? Look, it's like a countdown to our doom, I guess. That's what everybody sees it as, a countdown to our doom. This is here in Union Square, right above the Best Buy. I've always, every time I came out of school, before, before they didn't have that. You see how they have the years and stuff, the years, minutes, days, whatever. They didn't have all that when I was going to school. So it was just a bunch of numbers and we were like, yo, what the fuck is that? It's the countdown to when global warming is going to kill us or some bullshit."
https://www.tiktok.com/@achilles_de_anthropocene/video/7387169037375196462,"When you give corporations freedom from regulation, you give them the choice between doing what is best for humans and doing what is best for profit, and there is always going to be one of those that they choose. I made a video a while ago about the growing wealth inequality in America and this guy came on the video and said nobody owes you anything. So I made a response asking him what the point of family and community and government and all the other structures that humans have made around ourselves And he said something about how families and governments owe you something, but corporations don't owe you anything. And he's right and he's wrong, because corporations are a made-up idea, and they owe you exactly what we say they owe you. When you do something like repeal Chevron and hobble every regulatory agency in the country, the decision of what a corporation owes to us gets left up to the corporation. And it's gonna make that decision I was talking about at the beginning of the video. I've been thinking about the comment this guy left a lot, this comment that corporations don't owe us anything, and I have to ask, If a corporation doesn't owe us anything, why would we keep them around? And especially why would we keep them around if what is in the best interest of most humans is often directly opposed to what is in the best interest of the corporation, which is almost always maximizing profits? We don't even tolerate other humans in our communities who show blatant disregard for our well-being and safety. Why would we tolerate that from an entirely made-up legal entity? Why would we make that up to begin with? What kind of insane human society would position all their power and wealth Did you guys know that we have these things called right to farm laws and functionally what they're supposed to do is protect small farmers from nuisance lawsuits. If you're a city slicker and you move into an agricultural area, you're not supposed to be able to sue the farmer next door because you don't like his pigs. But overwhelmingly, what those laws have ended up doing is benefiting CAFOs or factory farms. And in fact, small farmers often lose litigation against CAFOs because of right-to-farm laws. And even if they don't lose against them that directly, small farmers are often driven out of their small farms because CAFOs are protected by things like right-to-farm laws and can do just extraordinary nonsense. The same kind of idea, that farmers deserve special protection, largely exempts the agriculture industry from the Clean Air and Clean Water Acts. The idea that we need to protect small farmers has also historically hobbled the EPA and made it nearly impossible for the EPA to do anything about regulating the agricultural industry. But again, it is overwhelmingly not small farmers who benefit from this lack of regulation. This lack of regulation allows factory farms to ignore the needs and well-being of humans it is existing in community with. Factory farms are linked to poverty, loss of family farms, and poor health outcomes in rural areas. They increase the taxpayer's burden to clean municipal water, restore eroded land, and address air pollution. They damage natural ecosystems. They destroy wildlife habitats. They encourage antibiotic resistance and superbugs. They erode animal welfare, encourage land degradation, and contribute to deforestation. They're important emitters of greenhouse gases and directly contribute to climate change. All of this because agricultural exceptionalism and the idea that we have to protect farmers at all costs has actually benefited large corporations. And it has hobbled the EPA for decades. Revoking power from regulatory bodies by repealing Chevron is going to replicate this in every sector. To give corporations unfettered control over our society is madness because they are not humans and they do not care about humans."
https://www.tiktok.com/@americanlangster0/video/7392646542466747679,"DeSantis rejects climate change as floods devastate South Florida. Massive flooding has resulted in widespread damage all across South Florida. Almost a billion dollars worth. Just last month, DeSantis vetoed funding on public safety and flood projects. That includes drainage systems and emergency shelters. His war on climate change is not only misguided, it's irresponsible. Vote Blue."
https://www.tiktok.com/@andrewwookey/video/7338352473456921899,"Our planet is screaming for help. Deforestation, pollution and climate change are not just buzzwords, they are real, tangible threats that are wreaking havoc on our environment. The ice caps are melting at an alarming rate, forests are disappearing and species are becoming extinct. Yet there is a silver lining. Across the globe, individuals, communities and governments are stepping up, taking action to safeguard our planet. From renewable energy initiatives to conservation efforts, the fight for our planet is on. In the realm of geopolitics, tensions are escalating, conflicts and power struggles are driving wedges between nations, creating instability and uncertainty. Yet, even amidst these tensions, there are glimmers of hope. Diplomacy, negotiations, and peace initiatives continue to strive for harmony and global stability. Social inequality remains one of the most pressing issues of our time. From racial and gender discrimination to income disparity, these issues touch every corner of the globe. The battle for equality is a tough one, but progress is being made. Movements for social justice are gaining momentum, pushing for systemic changes and demanding equality for all. Technology is advancing at a pace that's hard to keep up with. From AI to biotechnology, these advancements bring immense potential, but also pose new challenges and ethical dilemmas. Yet, with these challenges come opportunities. Technology holds the key to solving many of the world's problems, from medical breakthroughs to innovations in renewable energy. To summarize, the world today is indeed fraught with challenges. Environmental crises, geopolitical tensions, social inequalities, and rapid technological changes are complex issues that require our attention. But amidst these challenges, there is hope. There are individuals, communities, and movements tirelessly working to make this world a better place. The road ahead is long and arduous, but remember, every journey begins with a single step. So here's to understanding, to action, and to hope. Because together, we can make a difference."
https://www.tiktok.com/@asherthealchemist/video/7382352961080544542,"Is buying a Tesla really green? Tesla markets itself as a pioneer in sustainable transportation. But there's a darker side to this green giant. Beneath the boxy design of the Cybertruck and that self-driving AI that might unalive you, Tesla's financial strategy actually relies heavily on carbon credits, a practice that raises serious ethical concerns. In 2023, Tesla earned a whopping $1.79 billion from selling carbon credits. Since 2009, Tesla has earned over $7 billion. Since 2009, this revenue stream has netted Tesla over $9 billion, making it a cornerstone of the company's profitability. Carbon credits are essentially permits that allow companies to emit a certain amount of carbon dioxide. Companies that produce fewer emissions can sell their extra credit to those that have exceeded their limits. Tesla, with its zero emission vehicles, generates a lot of these credits and sells them to traditional automakers who need to meet regulatory requirements. But here's the catch. By selling these carbon credits, Tesla is effectively allowing other companies to continue polluting. Instead of reducing their own emissions, these companies just buy their way out of trouble, undermining the overall goal of reducing that carbon footprint. In an interview with Dr. Emily Clark, an environmental policy expert, she explains Tesla's significant revenue from carbon credits highlights a problematic reliance on these markets. While Tesla's cars are indeed less polluting, the sale of carbon credits to less green automakers allows those companies to delay making their own necessary changes for the environment. Tesla's ability to generate and sell carbon credits has turned it into a financial juggernaut, but the strategy is a double-edged sword. Other automakers buy these credits instead of investing themselves in sustainable practices, perpetuating a cycle of dependency on outdated, polluting practices. This practice of selling indulgences in the form of carbon credits allows Tesla to profit while contributing to a system that does little to combat the current issues of climate change. While Tesla enjoys its green reputation and financial success, the true cost is borne by the environment. Carbon credits provide a convenient smokescreen, allowing businesses to claim green credentials without making any meaningful changes. Supporting the mission of saving our planet is important, but we need to demand transparency and real action from these companies. True sustainability requires more than just buying and selling these carbon credits. It demands genuine, actionable reductions in emissions because the future of our planet absolutely depends on it. If you're watching, if you like this sort of content, make sure you drop a follow. Also check out the Carbon Credits Club offsetting liability tee I made. It's available in the TikTok shop. Made locally, eco-friendly, and 100% cotton."
https://www.tiktok.com/@bahudso/video/7413761411471527210,"We're treating our soils like dirt. So the same thing that's going to fix the soils is the same thing that's going to draw down enough CO2 out of the atmosphere to help slow down climate change. These cows are that thing. Firstly, cows are not a thing. They're a living creature that are capable of suffering. Focusing just on carbon and not looking at the long-term impacts for methane or even looking at the impacts at all for nitrous oxide, which is also a part of animal agriculture emissions, is really convenient for regenerative animal farmers. This is also conveniently overlooking the land use issue with regenerative animal farming and grazing. Because in order to meet current demand for animal flesh, especially cow flesh, we would have to drastically increase our land use. That's just not sustainable and it's not a solution to the climate issue. I want to talk about solutions to the climate issue. The solutions are planting trees and investing in a plant-based food system that is actually sequestering carbon in the soil and not relying on unsustainable practices of raising animals at a loss of energy just to consume the animals."
https://www.tiktok.com/@banesamontoya848/video/7451313937427025195,Climate change is driving Texas home insurance through the roof.
https://www.tiktok.com/@batterygirlie/video/7350098804491816222,"Not a lot of people know what climate tech is, and so I'm going to give you all a rundown. And this is coming from a product manager at a climate tech startup who's been working in climate for over five years. Climate tech is what we call technological solutions for climate change, whether it be technologies that are enabling the adoption of electric trucks, like what I do, or battery technologies that allow us to move away from fossil fuels. Climate technologies can fall into the following categories. First is technologies that reduce greenhouse gas emissions. Second is technologies that remove carbon from the air or land. And third is technologies that can help our communities build resilience to the effects of climate change. And let me know if you want me to go more in depth into each of these categories. If you're interested in tech, but also want to have an impact on the most relevant problem of our generation, check out some of my favorite free resources that'll help you get started in learning more about climate. Thanks for watching!"
https://www.tiktok.com/@birdsonglandscapes/video/7346292215318105375,"To some people, this is beautiful, but to me, this is an ecological catastrophe on a small scale. So somebody's yard here, they've got a beech maple woods and they've cleared all the native vegetation. It's never coming back to plant these ornamental non-native daffodils. This is steep slopes going down to a little stream. I mean, it's very, very Daffodils are prone to erosion already. These daffodils are just gonna increase that. This offers nothing for wildlife, nothing for insects or birds or on up the food chain. This really exemplifies that colonizer mindset of trying to dominate everything for our aesthetic pleasure. And it's not acceptable and it's not right. I don't care about your grandma's daffodils. You got a little corner of the yard. You keep the heirloom, whatever. I'm talking about clearing large portions of native woods just to plant ornamentals. This sort of thing has to stop."
